Substrate,CAZy Family
Lignin,AA1_1
Lignin,AA2
Hemicellulose,"GH5_22, GH8, GH10, GH11, GH30_7"
Hemicellulose,"GH74, GH44"
Hemicellulose,"GH5_1, GH5_7, GH26, GH113, GH13"
Hemicellulose,GH93
Hemicellulose,GH16
Hemicellulose,"GH43, GH51, GH54, GH62"
Hemicellulose,"GH115, GH2"
Hemicellulose,"GH67, GH115"
Hemicellulose,"GH2, GH5_2"
Hemicellulose,"GH35, GH53"
Hemicellulose,"GH27, GH36"
Hemicellulose,"GH52, GH54, GH120, GH30_1, GH39"
Hemicellulose,"GH29, GH95, GH141"
Hemicellulose,"CE1, CE2, CE3, CE4, CE6, CE16"
Hemicellulose,CE5
Hemicellulose,CE15
Hemicellulose,AA14
Cellulose,"GH5,4, GH5_5, GH12, GH45,GH74, GH131"
Cellulose,"GH6, GH7, GH5_1, GH48"
Cellulose,"GH1, GH3, GH30_1, GH5_7, GH5_22"
Cellulose,"AA9, AA16"
Pectin,"GH28, GH78"
Pectin,"GH88, GH105"
Pectin,"GH78, GH106"
Pectin,GH53
Pectin,"PL1, PL3, PL9"
Pectin,"PL4, PL11, PL26"
Pectin,CE12
Pectin,CE8
Cutin,CE5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
